#from vertex, to vertex, sense, max rise delay mean, max rise delay sigma, max fall delay mean, max fall delay sigma, min rise delay mean, min rise delay sigma, min fall delay mean, min fall delay sigma
EmInst_215/Y,EmInst_3013/EmInst_2712/EmInst_1500/CK,pos_unate,0.000968,0,0.000968,0,0.000968,0,0.000968,0
EmInst_3013/EmInst_2712/EmInst_1260/Y,EmInst_3013/EmInst_2712/EmInst_1366/D,pos_unate,0.000902,0,0.000902,0,0.000902,0,0.000902,0
EmInst_3013/EmInst_2712/EmInst_1019/Y,EmInst_3013/EmInst_2712/EmInst_1066/A,pos_unate,0.001327,0,0.001327,0,0.001327,0,0.001327,0
EmInst_3013/EmInst_2712/EmInst_1232/A,EmInst_3013/EmInst_2712/EmInst_1232/Y,pos_unate,0.204795,0.0325870224263915,0.181229,0.0159814388066092,0.204795,0.0135728973121436,0.181229,0.00732968424196364
EmInst_3013/EmInst_2712/EmInst_1070/Y,EmInst_3013/EmInst_2712/EmInst_1137/D,pos_unate,0.000857,0,0.000857,0,0.000857,0,0.000857,0
EmInst_732/Y,EmInst_761/D,pos_unate,0.000146,0,0.000146,0,0.000146,0,0.000146,0
EmInst_690/Q,portbout[1],pos_unate,2.6e-05,0,2.6e-05,0,2.6e-05,0,2.6e-05,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2462/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2715/A,pos_unate,0.000535,0,0.000535,0,0.000535,0,0.000535,0
EmInst_3007/Q,EmInst_3014/EmInst_1802/B,pos_unate,0.00051,0,0.00051,0,0.00051,0,0.00051,0
EmInst_40/Y,EmInst_241/B,pos_unate,3.7e-05,0,3.7e-05,0,3.7e-05,0,3.7e-05,0
EmInst_631/B,EmInst_631/Y,neg_unate,0.108498,0.0213732702099606,0.101345,0.00691427614013611,0.108498,0.0105967390808091,0.101345,0.00508816190362439
EmInst_333/A,EmInst_333/Y,neg_unate,0.167366,0.021548770382037,0.158141,0.0224368071828006,0.158432,0.005965978587372,0.154917,0.0077628263381153
EmInst_3/Y,EmInst_142/A,pos_unate,2.1e-05,0,2.1e-05,0,2.1e-05,0,2.1e-05,0
EmInst_3013/EmInst_2712/EmInst_1443/Q,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2153/A,pos_unate,0.000292,0,0.000292,0,0.000292,0,0.000292,0
EmInst_444/C,EmInst_444/Y,neg_unate,0.133293,0.0222268192181449,0.113827,0.0131008526772655,0.130343,0.00875725941230418,0.113823,0.0107390666047343
EmInst_3000/QN,EmInst_493/A,pos_unate,0.000261,0,0.000261,0,0.000261,0,0.000261,0
EmInst_3013/EmInst_2712/EmInst_1232/Y,EmInst_3013/EmInst_2712/EmInst_1489/D,pos_unate,0.000902,0,0.000902,0,0.000902,0,0.000902,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2180/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2481/B,pos_unate,0.000288,0,0.000288,0,0.000288,0,0.000288,0
EmInst_3010/EmInst_1630/EmInst_2900/Y,EmInst_3010/EmInst_1630/EmInst_2907/C,pos_unate,5.2e-05,0,5.2e-05,0,5.2e-05,0,5.2e-05,0
EmInst_3012/EmInst_2957/Y,EmInst_338/A,pos_unate,7.1e-05,0,7.1e-05,0,7.1e-05,0,7.1e-05,0
EmInst_3013/EmInst_2712/EmInst_1059/Y,EmInst_3013/EmInst_2712/EmInst_1459/E,pos_unate,0.000872,0,0.000872,0,0.000872,0,0.000872,0
EmInst_492/A,EmInst_492/Y,neg_unate,0.076003,0.0100722274103985,0.07298,0.00712310620173661,0.076003,0.00697055547521191,0.07298,0.0066666657012272
EmInst_3013/EmInst_2712/EmInst_1351/Y,EmInst_3013/EmInst_2712/EmInst_1699/D,pos_unate,0.000902,0,0.000902,0,0.000902,0,0.000902,0
EmInst_3010/EmInst_1631/EmInst_2601/Y,EmInst_3010/EmInst_1631/EmInst_2622/A1,pos_unate,3.6e-05,0,3.6e-05,0,3.6e-05,0,3.6e-05,0
EmInst_3012/EmInst_2952/Y,EmInst_235/A,pos_unate,2.3e-05,0,2.3e-05,0,2.3e-05,0,2.3e-05,0
EmInst_3013/EmInst_2712/EmInst_1004/Y,EmInst_3013/EmInst_2712/EmInst_1419/E,pos_unate,0.000877,0,0.000877,0,0.000877,0,0.000877,0
EmInst_3010/EmInst_1630/EmInst_2898/Y,EmInst_3010/EmInst_1630/EmInst_2908/A,pos_unate,0.000141,0,0.000141,0,0.000141,0,0.000141,0
EmInst_543/B0,EmInst_543/Y,neg_unate,0.104028,0.0172508936881275,0.093553,0.00767884416542018,0.102339,0.00753030570013472,0.090901,0.000120505911923772
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2463/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2726/B,pos_unate,0.000288,0,0.000288,0,0.000288,0,0.000288,0
reset,EmInst_2987/SE,pos_unate,5.8e-05,0,5.8e-05,0,5.8e-05,0,5.8e-05,0
EmInst_660/Y,EmInst_3010/EmInst_1631/EmInst_2581/B,pos_unate,0.001405,0,0.001414,0,0.001405,0,0.001414,0
EmInst_638/B0,EmInst_638/Y,neg_unate,0.072067,0.00597016886388251,0.094378,0.0116378111556146,0.072067,0.000918343340602825,0.094378,0.00510590881789494
EmInst_706/Y,EmInst_753/B,pos_unate,0.000783,0,0.000783,0,0.000783,0,0.000783,0
EmInst_3013/EmInst_2712/EmInst_1353/Y,EmInst_3013/EmInst_2712/EmInst_1725/D,pos_unate,0.000902,0,0.000902,0,0.000902,0,0.000902,0
EmInst_3013/EmInst_2712/EmInst_1342/Y,EmInst_3013/EmInst_2712/EmInst_1693/D,pos_unate,0.000902,0,0.000902,0,0.000902,0,0.000902,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2130/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2535/A,pos_unate,0.000292,0,0.000292,0,0.000292,0,0.000292,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2209/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2316/A,pos_unate,0.00078,0,0.00078,0,0.00078,0,0.00078,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2318/S0,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2318/Y,neg_unate,0.161542,0.0142225926181685,0.177846,0.0111475170531769,0.124577,0.0105475987086195,0.111589,0.00336508208472327
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2318/S0,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2318/Y,pos_unate,0.161542,0.0142225926181685,0.177846,0.0111475170531769,0.124577,0.0105475987086195,0.111589,0.00336508208472327
EmInst_3013/EmInst_2712/EmInst_1057/Y,EmInst_3013/EmInst_2712/EmInst_1107/E,pos_unate,0.000877,0,0.000877,0,0.000877,0,0.000877,0
EmInst_710/AN,EmInst_710/Y,pos_unate,0.223649,0.025866781155028,0.166268,0.007683063917312,0.223649,0.0152862608924964,0.166268,0.00259023354735651
EmInst_399/Y,EmInst_463/A,pos_unate,4.8e-05,0,4.8e-05,0,4.8e-05,0,4.8e-05,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2036/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2271/S0,pos_unate,0.00107,0,0.00107,0,0.00107,0,0.00107,0
EmInst_3013/EmInst_2712/EmInst_1713/Q,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2287/B,pos_unate,0.000288,0,0.000288,0,0.000288,0,0.000288,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2150/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2362/S0,pos_unate,0.00107,0,0.00107,0,0.00107,0,0.00107,0
EmInst_3013/EmInst_2712/EmInst_1212/Y,EmInst_3013/EmInst_2712/EmInst_1296/DB,pos_unate,0.043765,0,-0.033066,0,0.043765,0,-0.033066,0
EmInst_202/Y,EmInst_3013/EmInst_2712/EmInst_1337/CK,pos_unate,0.000965,0,0.000965,0,0.000965,0,0.000965,0
EmInst_3013/EmInst_2712/EmInst_1766/Q,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2296/B,pos_unate,0.000288,0,0.000288,0,0.000288,0,0.000288,0
EmInst_665/Y,EmInst_3010/EmInst_829/A,pos_unate,3.1e-05,0,3.1e-05,0,3.1e-05,0,3.1e-05,0
EmInst_376/Y,EmInst_453/A,pos_unate,0.000112,0,0.000112,0,0.000112,0,0.000112,0
EmInst_3013/EmInst_2712/EmInst_1216/A,EmInst_3013/EmInst_2712/EmInst_1216/Y,pos_unate,0.120747,0.00702294521608255,0.121681,0.0109698271448256,0.120747,0.00607943445652379,0.121681,0.00353134183288388
EmInst_3013/EmInst_2712/EmInst_1346/Y,EmInst_3013/EmInst_2712/EmInst_1705/D,pos_unate,0.000898,0,0.000898,0,0.000898,0,0.000898,0
EmInst_3013/EmInst_2712/EmInst_1779/Q,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2032/B,pos_unate,0.000211,0,0.000211,0,0.000211,0,0.000211,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_1967/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2024/A,pos_unate,0.000708,0,0.000708,0,0.000708,0,0.000708,0
EmInst_456/Y,EmInst_3013/EmInst_2698/A,pos_unate,0.000902,0,0.000902,0,0.000902,0,0.000902,0
EmInst_371/Y,EmInst_520/A,pos_unate,1.5e-05,0,1.5e-05,0,1.5e-05,0,1.5e-05,0
EmInst_602/B,EmInst_602/Y,neg_unate,0.095341,0.0110269430317217,0.090882,0.00419955863385107,0.095341,0.00651649414820321,0.090882,0.00141582027359958
EmInst_2968/CK,EmInst_2968/Q,rising_edge,0.272946,0.017001147658579,0.316832,0.0261413184675973,0.272946,0.00345018631293678,0.316832,0.00564715167293613
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2034/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2136/A,pos_unate,0.000803,0,0.000803,0,0.000803,0,0.000803,0
EmInst_3013/EmInst_2712/EmInst_1061/Y,EmInst_3013/EmInst_2712/EmInst_1397/E,pos_unate,0.000872,0,0.000872,0,0.000872,0,0.000872,0
EmInst_3013/EmInst_2712/EmInst_1718/Q,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2236/B,pos_unate,0.000228,0,0.000228,0,0.000228,0,0.000228,0
EmInst_577/Y,EmInst_610/AN,pos_unate,1.2e-05,0,1.2e-05,0,1.2e-05,0,1.2e-05,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2146/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2357/S0,pos_unate,0.001133,0,0.001133,0,0.001133,0,0.001133,0
EmInst_3014/EmInst_1800/B,EmInst_3014/EmInst_1800/Y,neg_unate,0.345215,0.0392955972478713,0.163015,0.0166028417732353,0.345196,0.0283524423985353,0.163015,0.0159921308211352
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2045/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2194/S0,pos_unate,0.001152,0,0.001152,0,0.001152,0,0.001152,0
EmInst_3014/EmInst_1836/Y,EmInst_3014/EmInst_1904/A1N,pos_unate,0.000192,0,0.000192,0,0.000192,0,0.000192,0
EmInst_3010/EmInst_894/Y,EmInst_3010/EmInst_1551/B,pos_unate,1.1e-05,0,1.1e-05,0,1.1e-05,0,1.1e-05,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2768/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2800/S0,pos_unate,0.00096,0,0.00096,0,0.00096,0,0.00096,0
EmInst_3013/EmInst_2712/EmInst_1034/Y,EmInst_3013/EmInst_2712/EmInst_1133/E,pos_unate,0.000877,0,0.000877,0,0.000877,0,0.000877,0
EmInst_3013/EmInst_2712/EmInst_1008/Y,EmInst_3013/EmInst_2712/EmInst_1404/E,pos_unate,0.000877,0,0.000877,0,0.000877,0,0.000877,0
EmInst_679/Q,EmInst_544/A1N,pos_unate,0.000781,0,0.000781,0,0.000781,0,0.000781,0
EmInst_3010/EmInst_1541/Y,EmInst_3010/EmInst_1559/B,pos_unate,0.000122,0,0.000122,0,0.000122,0,0.000122,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2097/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2434/B,pos_unate,0.000288,0,0.000288,0,0.000288,0,0.000288,0
EmInst_178/A1N,EmInst_178/Y,pos_unate,0.150502,0.0124678750933443,0.139186,0.0171631141103368,0.150502,0.00191783353611787,0.139186,0.00753004963791907
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2035/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2731/S0,pos_unate,0.001203,0,0.001203,0,0.001203,0,0.001203,0
EmInst_221/Y,EmInst_3013/EmInst_2712/EmInst_1518/CK,pos_unate,0.000966,0,0.000966,0,0.000966,0,0.000966,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2820/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2836/B,pos_unate,0.000288,0,0.000288,0,0.000288,0,0.000288,0
EmInst_741/Q,portbout[5],pos_unate,0.001198,0,0.001198,0,0.001198,0,0.001198,0
EmInst_285/Y,EmInst_447/AN,pos_unate,0.002413,0,0.002413,0,0.002413,0,0.002413,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_1939/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2195/A,pos_unate,0.000215,0,0.000215,0,0.000215,0,0.000215,0
reset,EmInst_174/B0,pos_unate,3.3e-05,0,3.3e-05,0,3.3e-05,0,3.3e-05,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2434/S0,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2434/Y,neg_unate,0.124476,0.0109592021810993,0.136289,0.0085426939692792,0.108234,0.00916388096220587,0.080663,0.00243247646452637
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2434/S0,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2434/Y,pos_unate,0.124476,0.0109592021810993,0.136289,0.0085426939692792,0.108234,0.00916388096220587,0.080663,0.00243247646452637
EmInst_221/Y,EmInst_3013/EmInst_2712/EmInst_1299/CK,pos_unate,0.000966,0,0.000966,0,0.000966,0,0.000966,0
EmInst_3010/EmInst_1631/EmInst_1659/Y,EmInst_3010/EmInst_1631/EmInst_2575/A,pos_unate,1.6e-05,0,1.6e-05,0,1.6e-05,0,1.6e-05,0
EmInst_694/Q,EmInst_3012/EmInst_2946/B,pos_unate,6.5e-05,0,6.5e-05,0,6.5e-05,0,6.5e-05,0
EmInst_218/Y,EmInst_716/CK,pos_unate,4.4e-05,0,4.4e-05,0,4.4e-05,0,4.4e-05,0
EmInst_3013/EmInst_2712/EmInst_1038/Y,EmInst_3013/EmInst_2712/EmInst_1766/E,pos_unate,0.000877,0,0.000877,0,0.000877,0,0.000877,0
EmInst_200/Y,EmInst_3013/EmInst_2712/EmInst_1328/CK,pos_unate,0.000968,0,0.000968,0,0.000968,0,0.000968,0
EmInst_221/Y,EmInst_3013/EmInst_2712/EmInst_1417/CK,pos_unate,0.000966,0,0.000966,0,0.000966,0,0.000966,0
EmInst_173/A0,EmInst_173/Y,neg_unate,0.13375,0.0165446476989638,0.081222,0.00403535591522297,0.132869,0.00699541449723063,0.081165,0.0021336702477395
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2100/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2337/A,pos_unate,0.000292,0,0.000292,0,0.000292,0,0.000292,0
EmInst_183/Y,EmInst_247/A,pos_unate,0.00292,0,0.002918,0,0.00292,0,0.002918,0
EmInst_3014/EmInst_1822/B,EmInst_3014/EmInst_1822/Y,neg_unate,0.120193,0.00604360388554922,0.153075,0.0169769312345246,0.120193,0.00577760401617524,0.153074,0.0146454050940268
EmInst_203/A,EmInst_203/Y,pos_unate,0.199084,0.0157146670444899,0.220175,0.0106263206191898,0.199013,0.00645038613534227,0.220121,0.00255701112056364
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2148/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2355/S0,pos_unate,0.00107,0,0.00107,0,0.00107,0,0.00107,0
EmInst_3013/EmInst_2712/EmInst_942/Y,EmInst_3013/EmInst_2712/EmInst_951/AN,pos_unate,0.000524,0,0.000524,0,0.000524,0,0.000524,0
EmInst_3013/EmInst_2712/EmInst_1342/Y,EmInst_3013/EmInst_2712/EmInst_1783/D,pos_unate,0.000902,0,0.000902,0,0.000902,0,0.000902,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_1961/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_1988/A,pos_unate,0.001104,0,0.001104,0,0.001104,0,0.001104,0
EmInst_205/Y,EmInst_3013/EmInst_2712/EmInst_1457/CK,pos_unate,0.000965,0,0.000965,0,0.000965,0,0.000965,0
EmInst_3013/EmInst_2705/Y,EmInst_3013/EmInst_2712/EmInst_936/B,pos_unate,0.001059,0,0.001059,0,0.001059,0,0.001059,0
EmInst_3010/EmInst_1591/Y,EmInst_3010/EmInst_1595/A,pos_unate,2.1e-05,0,2.1e-05,0,2.1e-05,0,2.1e-05,0
EmInst_219/Y,EmInst_3013/EmInst_2712/EmInst_1291/CK,pos_unate,0.000967,0,0.000967,0,0.000967,0,0.000967,0
EmInst_3013/EmInst_2712/EmInst_1496/Q,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2452/B,pos_unate,0.000288,0,0.000288,0,0.000288,0,0.000288,0
EmInst_3014/EmInst_1839/Y,EmInst_3014/EmInst_1857/B,pos_unate,7.3e-05,0,7.3e-05,0,7.3e-05,0,7.3e-05,0
EmInst_3014/EmInst_1881/B,EmInst_3014/EmInst_1881/Y,neg_unate,0.060193,0.00797702175590587,0.05806,0.00566686141508396,0.059678,0.00547332091693349,0.057982,0.00529661017660394
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2419/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2759/A,pos_unate,0.000222,0,0.000222,0,0.000222,0,0.000222,0
EmInst_2995/CK,EmInst_2995/Q,rising_edge,0.47499,0.0532048862718245,0.528488,0.0535740906168254,0.474894,0.0175065461169185,0.528394,0.0112953765684202
EmInst_3010/EmInst_773/Y,EmInst_3010/EmInst_789/A,pos_unate,3.5e-05,0,3.5e-05,0,3.5e-05,0,3.5e-05,0
EmInst_3013/EmInst_2712/EmInst_1368/Y,EmInst_3013/EmInst_2712/EmInst_1769/D,pos_unate,0.000902,0,0.000902,0,0.000902,0,0.000902,0
EmInst_3013/EmInst_2712/EmInst_1029/A,EmInst_3013/EmInst_2712/EmInst_1029/Y,pos_unate,0.367745,0.0695697186973795,0.321722,0.038817436520112,0.367745,0.0364045053676222,0.321722,0.0145609573201152
EmInst_3010/EmInst_805/Y,EmInst_3010/EmInst_883/A0,pos_unate,1.2e-05,0,1.2e-05,0,1.2e-05,0,1.2e-05,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_1952/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_1967/A,pos_unate,0.000906,0,0.000906,0,0.000906,0,0.000906,0
EmInst_91/A,EmInst_91/Y,neg_unate,0.06985,0.000855964996691805,0.048976,0.00513608974909358,0.06985,0.000240669381544196,0.048976,0.00243541047654346
EmInst_3010/EmInst_1578/Y,EmInst_3010/EmInst_1590/B,pos_unate,3.2e-05,0,3.2e-05,0,3.2e-05,0,3.2e-05,0
